date,type,event,impact,sentiment,source,territory,auto_generated,hash,date_added
Jan 2026,Regulatory,Philippine FDA Cosmetic Notification — UnicoCell,"ASEAN gateway validated; blueprint for TH, MY, ID",🟢 Positive,UnicoCell Biomed press release Jan 2026; cirs-group.com/en/cosmetics/philippines-amends-asean-cosmetic-directive,Philippines,manual,,2020-01-01
May 2025,Enforcement,FDA warning letter — Florida IV exosome clinic,US IV channel high risk; pivot to topical/cosmetic,🔴 Risk,HealthE1 Medical healthe1.com; Atlantis Bioscience regulatory roadmap Oct 2025,USA,manual,,2020-01-01
Late 2025,Regulatory,ANVISA-COFEPRIS MoU fully operational,Single approval pathway for Brazil and Mexico,🟢 Positive,DIA Global Forum Nov 2025 — globalforum.diaglobal.org/issue/november-2025/anvisa-cofepris-strategy-and-vision,LATAM,manual,,2020-01-01
Feb 2025,Investment,ExoLab Italia raises EU5M Series A (plant-derived),Plant-derived trend rising in EU; BM-MSC must counter,🟡 Neutral,ExoLab Italia press release Feb 2025 (industry news),EU,manual,,2020-01-01
Jan 2025,Regulatory,Thai FDA drafting new health product import/export policy,Favourable regulatory window to enter Thailand now,🟢 Positive,NutraIngredients Jan 2025; ClinRegs Thailand Aug 2025 — clinregs.niaid.nih.gov,Thailand,manual,,2020-01-01
Mar 2024,Partnership,Croma-Pharma x Aesthetic Management Partners (EU),DACH region actively seeking new regenerative brands,🟢 Positive,Croma-Pharma press release Mar 2024 (industry news),EU,manual,,2020-01-01
Ongoing,Enforcement,FDA: 12+ warning letters total on exosome products,US = cosmetic channel only for next 3-5 years,🔴 Risk,Atlantis Bioscience Oct 2025; FDA Public Safety Notification on Exosome Products — fda.gov,USA,manual,,2020-01-01
Jul 2023,M&A,ExoCoBio acquires majority stake in US BENEV,Market consolidating; window to establish brand now,🟢 Positive,ExoCoBio/BENEV press release Jul 2023 (industry news),USA,manual,,2020-01-01
2021,Regulatory,Thai FDA launches HSA Singapore Reliance Route,Singapore approval fast-tracks SEA/Thailand entry,🟢 Positive,HSA Singapore — hsa.gov.sg/cosmetic-products/asean-cosmetic-directive; Asia Actual Thailand guide,Thailand/SEA,manual,,2020-01-01
Ongoing,Structural,Lyophilisation segment $50-60M growing to $100M+ by 2030,Cold-chain barrier eliminated globally,🟢 Positive,QY Research — Exosome Lyophilization Global Market Forecast 2026–2032,Global,manual,,2020-01-01
Oct 2025,Enforcement,Atlantis Bioscience documents 12+ FDA warning letters,Confirms US IV channel shutdown; cosmetic only pathway,🔴 Risk,Atlantis Bioscience blog Oct 2025 — atlantisbioscience.com,USA,manual,,2020-01-01
2025,Structural,RoosterBio hollow-fiber bioreactors cut media cost 60-70%,Largest BM-MSC COGS component now compressible at scale,🟢 Positive,RoosterBio Exosome Production Bioreactor Kits product page 2025 — roosterbio.com,Global,manual,,2020-01-01
Jan 2026,Structural,QY Research: lyophilization market forecast to 2032,Segment growing to low hundreds of millions early 2030s,🟢 Positive,QY Research Exosome Lyophilization Global Market Share and Demand Forecast 2026–2032,Global,manual,,2020-01-01
2026-03-19,Partnership,Bio-Sourcing partners with Tiny Cargo,Expands exosome-based delivery methods,🟢 Positive,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNQzVQUDlwM2c5blQ3amlCYzdZS3hTcmNmaHdBeWRUWEFpNUtuQWx4b25VTDVFUnlQWDhCekk2X0VTazZVQWZKdzZCMndqU0l1U3BzZ3NIWWV0YU1nM01CdmhIbk9qYk56MjktMVAtUzU1ZWEzZlVEWVNEVExzMlAzcWFuNDI3MGdYc0h0dWE3YU1hMkM4bjVRamppeUVvenBlUlRhNVdIcEVyTHYyZkc1Yzh3TEZSN25IMjJDajdtajB0LU80a2Q5WVplZmxDNDNs?oc=5,Global,auto,8f37d84114f2,2020-01-01
2026-03-23,Investment,Exosome market forecast,Growth opportunities for BM-MSC manufacturers,🟢 Positive,https://news.google.com/rss/articles/CBMinAFBVV95cUxQT3FPSnZuenlwTlo1amxqTFd6RWF3QWhxZnBFbGlYQ0oycVJkc21sbUd3WXltNzZhZU50TDBKSngwQ04wZjNxbTZDMTN0TEZNZm4zdmlneDVuaVZjN1JjNlJTNHphZmstb2pZRGs4aFBaMVF1a3lXU2tkV1Rkem96SDNua2k3S2cyNEhHbzRzX2NFNGZwZ0JZRTJmN3Y?oc=5,Global,auto,239b0bd58164,2020-01-01
2026-03-24,Structural,New nanoparticle system,Boosts scalable exosome production,🟢 Positive,https://news.google.com/rss/articles/CBMivwFBVV95cUxPckdfUnR1TkxibFNUNG5Hb2FPR3JRcTJEQmJTMGNNSTdpemFLTVgxYW5KZGtMRkNyLWJXR3p1UmpFbGZpVjlKQkREelIxbWNpOHlHVUNvQnlnR1RfRk04allWSEtkRkE5WHlrYjRQN0JCNEM3dVJmeFI3Q19LVzZmWmNZR01zTVgybm85QzRlMGFfZEg2c1IwNGpvUkJXR3BTRXpuemN0bVd5a1AxNTNiMmNRbmc0eHlPcDM0dW8tNA?oc=5,Global,auto,6b0e41e21be9,2020-01-01
2026-04-02,Geographic,Exosomes market evolution,Growth opportunities for BM-MSC manufacturers,🟢 Positive,https://news.google.com/rss/articles/CBMikAFBVV95cUxPUUxnM0FESEYtOG9DOGhlbUFBdko3SGZVNEQtNm05Nk1VeEJfSWlOMXdoSkxHWGc3eXp6NXpkN3c3dEFCMEwzcHdXMlRuanBMcFIxdnhZV2ZCNG9VMW1oX1p2QklpMGVSTEZ3bmVEWFRvcXctQ0JTeW1SUzIzV29DYnV2QWtTVEUzX08wNXpvWDg?oc=5,Global,auto,1f3b6c01d925,2020-01-01
2026-03-31,Pricing,Market size assessment,Growth opportunities for BM-MSC manufacturers,🟢 Positive,https://news.google.com/rss/articles/CBMikwFBVV95cUxNeXlLTXpsRmF2UjcxOUpyZnN5ZmNzVVdhMHpodndUdGhLemlxZjhqWm5zelRmXzlMdXd6UHBMYjk2UGkyWjJpN3ZWWTM0SDYteUVNMENBU1ZwOEVRb2FzUHY0NndWWExPUUtJWElybS1IM0xBUENFTF91MGphS2dyTXo4ZHNiaXlLZXdCcS1nV0ZhOTQ?oc=5,Global,auto,d8c282a89fcd,2020-01-01
2026-03-31,Geographic,Exosome therapy available in Georgia,New market opportunity for BM-MSC manufacturers,🟢 Positive,https://news.google.com/rss/articles/CBMitwFBVV95cUxQbmR4S3hDTjVWQ2xtMTl4MEluUzg2WEN3R0FPMXRCRnE0TG5sSldyX2pPbElGb3g3cGREUmNueDZBaXNUeXZqS2RXYTZoeFdFY29KNDI2MDJzakNkNTU1d3lEY1JGaUpoVlk3V3I3dmZwS0FuSGhHMEozZzFpdXc0Q3BFS01WMHBTcWxFX044al9BVTBWdWRxc2FWQ0RMeS1PYjVXY3o2bUZtQU9mOXNCcVV0bzlFX1E?oc=5,USA,auto,cb9320850d52,2020-01-01
2026-05-11,Enforcement,FDA issues Consumer Alert (May 11 2026): exosome injections violate federal law; seizure & injunction threatened without further notice,US IV/injectable channel risk escalates; aesthetic topical channel unaffected; pivot to compliant markets,🔴 Risk,https://www.fda.gov/vaccines-blood-biologics/safety-availability-biologics/patient-and-consumer-warning-about-potential-serious-risks-harm-following-use-unapproved-products,USA,auto,a0285b5dc940,2020-01-01
2026-02-01,Enforcement,FDA warning letter to Dynamic Stem Cell Therapy: allogeneic UC stem cell product misbranded & unapproved,Continued escalation of US enforcement; named companies signal deepening DOJ involvement,🔴 Risk,https://www.armstrongbradylyons.com/library/fda-warning-letters-exosome-product,USA,auto,798a44682bc1,2020-01-01
2026-05-14,Regulatory,NurExone advances to Stage 2 of EU-backed EIT Health Catapult Programme 2026,EU commercialisation pathway validated; NurExone gains EU investor visibility and regulatory credibility,🟢 Positive,https://www.globenewswire.com/news-release/2026/05/14/3295329/0/en/NurExone-Advances-to-Stage-2-of-EU-Backed-EIT-Health-Catapult-Programme-2026.html,EU,auto,1574615924ef,2020-01-01
2026-05-19,Regulatory,NurExone receives ExoPTEN patent grant in South Korea — exosome drug delivery for nerve injury,Korea IP protection secured; opens KR licensing/partnership discussions; MFDS pathway de-risked,🟢 Positive,https://www.globenewswire.com/news-release/2026/05/19/3297939/0/en/NurExone-Receives-Notice-of-Patent-Grant-in-South-Korea-Covering-ExoPTEN-Technology.html,South Korea,auto,3ae7546efbdb,2020-01-01
