distributor,region,territory,brands,approach,priority,channel,last_flagged,news_snippet,date_added
Jolifill,Europe,Germany,"EXOXE, EXOMIDE, EXOJUV",Direct e-commerce + professional,🟢 High,Aesthetic,,,2020-01-01
Croma-Pharma,Europe,Austria/DACH,Aesthetic Mgmt Partners,Strategic regional partnerships,🟢 High,Aesthetic,,,2020-01-01
Teoxane France,Europe,France,Teoxane proprietary,Direct subsidiary model,🟡 Medium,Aesthetic,,,2020-01-01
Taumedika S.r.l.,Europe,Italy,Karisma Exo Care,Specialist aesthetic networks,🟡 Medium,Aesthetic,,,2020-01-01
Teoxane Polska,Europe,Poland/CEE,EPICEXOSOME,Emerging market expansion,🟡 Medium,Aesthetic,,,2020-01-01
Giostar Mexico,LATAM,Mexico (Cancun),Multiple MSC brands,Medical tourism + ortho,🟢 High,Medical/Ortho,,,2020-01-01
PRMEDICA,LATAM,Mexico (Cabos),MSC exosomes,Inflammatory modulation,🟡 Medium,Medical,,,2020-01-01
R3 Stem Cell Brazil,LATAM,Brazil,R3 proprietary,Centers of Excellence,🟢 High,Medical/Aesthetic,,,2020-01-01
Vanguard Aesthetics,SEA,Philippines,Innovative med-aesthetic,ASEAN hub strategy,🟢 High,Aesthetic,,,2020-01-01
MGRC / GGA Malaysia,SEA,Malaysia,cGMP MSC exosomes,Research + diagnostics,🟡 Medium,Research,,,2020-01-01
PT. Sel Regenerasi,SEA,Indonesia,Local brands,Physician clinic training,🟡 Medium,Medical,,,2020-01-01
Thai Aesthetic Clinics,Thailand,Bangkok/Phuket,Multi-brand,Direct clinic supply via cosmetic notif.,🟢 High,Aesthetic,,,2026-07-12
Bumrungrad/Samitivej,Thailand,Thailand,Proprietary protocols,Premium private hospital group,🟡 Medium,Medical,,,2026-07-12
Innotech / Mega Life.,Thailand,Thailand,Local pharma distribution,License + supply agreement,🟢 High,Pharma/Import,,,2026-07-12
Biogenix / InterMed,Pacific,Australia,"Cervos KeyPRP, Marrow Cell",TGA-compliant partnership,🟡 Medium,Medical,,,2020-01-01
DUBIMED,UAE/GCC,UAE/Qatar/Oman,"Galderma, Mesoestetic",Exclusive 40yr relationships,🟢 High,Aesthetic/Medical,,,2020-01-01
Troya Aesthetics,UAE/GCC,UAE,Premium regional,Dermatologist patient care,🟡 Medium,Aesthetic,,,2020-01-01
EDEN AESTHETICS,UAE/GCC,Dubai,Integrative exosome protocol,High-dose IV longevity,🟢 High,Longevity IV,,,2020-01-01
Regen Suppliers (R3),USA,USA (national),ReBellaXO (UC-MSC),Position BM-MSC as premium ortho-grade,🟢 High,Medical/Aesthetic,,,2026-07-12
Elevai Labs / BENEV,USA,USA,"Elevai E30, ExoCoBio",OEM/white-label cosmetic topical,🟢 High,Aesthetic,,,2026-07-12
Medical Spa chains,USA,"USA (TX,FL,AZ)",Post-procedure adjuncts,Direct clinic supply — cosmetic only,🟡 Medium,Aesthetic,,,2026-07-12
US CDMO channel,USA,USA,Biotech/pharma clinical,GMP supply for Phase I/II trials,🟡 Medium,Research/CDMO,,,2026-07-12
HealthNet MEA,UAE/GCC,UAE (GCC-wide rollout),Botanical EX (Precision Biotech Taiwan Corp),Exclusive regional import/distribution/commercialization partner,🟢 High,Pharma/Import,,UAE launch announced May 2026 — exclusive GCC deal with Precision Biotech Taiwan Corp (natlawreview.com),2026-07-26
RMTG / Cellgenic,LATAM,Dominican Republic (+ Mexico mfg hub; Dubai clinic hub),Cellgenic exosome + MSC lyophilized products,Manufacturing hub + regional distribution tied to ISSCA physician certification,🟢 High,Medical/Longevity,,Dominican Republic distribution expansion Oct 2025; full-scale manufacturing commenced Mar 2026 (biospace.com),2026-07-26
Leader Medical Systems,Asia,India,ExoCoBio ASCEplus (SRLV/HRLV),Official exclusive national distributor to premium dermatology/aesthetic clinics,🟢 High,Pharma/Import,,ExoCoBio India expansion — Forbes India interview Feb 2025,2026-07-26
Privé Luxe,Asia,India (Delhi),Korean PDRN + Exosome therapy (formulation unnamed),Medical-tourism-adjacent luxury clinic chain; first-mover positioning,🟡 Medium,Aesthetic/Medical,,Opened 2nd Delhi clinic offering India's first PDRN+exosome therapy May 2025,2026-07-26
Springs Rejuvenation,USA,"USA (NYC, LA, Miami, Austin, Atlanta)",In-house Stem 3 Protocol,Domestic 5-clinic network built to capture medical-tourism patients,🟢 High,Medical/Longevity,,5-clinic US network launched to intercept stem cell/exosome medical tourism Jul 2026,2026-07-26
Exora / JuveXO,USA,USA (national; direct-to-clinic),JuveXO (ExoCM secretome; UC-lining stem cells),B2B luxury skin/haircare brand to aesthetic practices,🟡 Medium,Aesthetic,,Regenerative beauty brand launch — medestheticsmag.com Apr 2026,2026-07-26
Aurecell Laboratories,USA,USA (national; professional/B2B),AureExo,Pharma-grade MSC exosome serum sold direct to medspas/aesthetic clinics,🟡 Medium,Aesthetic,,AureExo launch for professional aesthetic practices Sept 2025,2026-07-26
EMA Aesthetics,Europe,Introduced at AMWC Monaco (global ambitions),BLŪPRIN (umbilical cord blood plasma-derived exosomes),Platform/ingredient brand seeking to set clinic/derm channel standard,🟡 Medium,Aesthetic,,BLŪPRIN unveiled at AMWC Monaco Mar 2026,2026-07-26
InMode Australia,Pacific,Australia/New Zealand,ExoCoBio ASCE+ Exosomes,Exclusive distributor bundled with Morpheus8 device channel,🟢 High,Aesthetic/Medical,,InMode x ExoCoBio exosome launch in NZ Jun 2025,2026-07-26
Xytide,Pacific,Australia/New Zealand,Exomide (Korean adipose-MSC),Local biotech distributor; clinic-exclusive model,🟡 Medium,Aesthetic,,Exomide launch in New Zealand — Verve Magazine 2025/2026,2026-07-26
Enesi,Pacific,Australia/New Zealand,Multiple exosome lines + Juvasonic device,Cosmetic-medical device/product supplier bundling exosomes with training,🟡 Medium,Aesthetic,,Active AU/NZ supplier — confirmed via company site; no dated press item found,2026-07-26
Austramedex,Pacific,Australia/New Zealand,E-50 Exosomes,Regional wholesale supplier,🟡 Medium,Aesthetic,,Active AU/NZ wholesale listing — confirmed via company site; no dated press item found,2026-07-26
